,ND1##length##inches,ND2##length##inches,FOD##length##inches,Lgt##length##inches
0.75x0.5,0.75,0.5,1.05,0.852
1x0.5,1,0.5,1.315,1.016
1x0.75,1,0.75,1.315,1.016
1.25x0.75,1.25,0.75,1.66,1.078
1.25x1,1.25,1,1.66,1.078
1.5x1,1.5,1,1.9,1.141
1.5x1.25,1.5,1.25,1.9,1.141
2x1,2,1,2.375,1.203
2x1.25,2,1.25,2.375,1.203
2x1.5,2,1.5,2.375,1.203
2.5x2,2.5,2,2.875,1.594
3x2,3,2,3.5,1.719
3x2.5,3,2.5,3.5,1.719
4x2,4,2,4.5,1.875
4x3,4,3,4.5,1.875
4x3.5,4,3.5,4.5,1.875
0.5x0.75,0.5,0.75,0.84,0.852
0.5x1,0.5,1,0.84,1.016
0.75x1,0.75,1,1.05,1.016
0.75x1.25,0.75,1.25,1.05,1.078
1x1.25,1,1.25,1.315,1.078
1x1.5,1,1.5,1.315,1.141
1.25x1.5,1.25,1.5,1.66,1.141
1x2,1,2,1.315,1.203
1.25x2,1.25,2,1.66,1.203
1.5x2,1.5,2,1.9,1.203
2x2.5,2,2.5,2.375,1.594
2x3,2,3,2.375,1.719
2.5x3,2.5,3,2.875,1.719
2x4,2,4,2.375,1.875
3x4,3,4,3.5,1.875
3.5x4,3.5,4,4,1.875
