,ND##length##millimeters,FOD##length##inches,TLgt1##length##inches,TLgt2##length##inches,CLgt##length##inches,CtE1##length##inches
0.5,16,1.08,4  5/16,2, 11/16,3  9/16
0.75,21,1.33,5 1/8,2  5/16, 25/32,4 1/8
1,27,1.56,5  5/16,2 1/2,  3/4 ,4 7/8
1.25,35,1.95,7 7/8,3 3/8,  7/8 ,6  5/16
1.5,41,2.22,7 7/8,3 3/8,  7/8 ,6  5/16
2,53,2.75,10  3/16,3 15/16, 13/16,8  3/16
2.5,63,3.28,13    ,5 1/2,1      ,10 1/4
3,78,3.94,13    ,5 1/2,1      ,10 1/4
3.5,91,4.44,16 1/4,6 1/2,1      ,12 3/4
4,103,5,16 1/4,6 1/2,1      ,12 3/4
