,ND1##length##millimeters,ND2##length##millimeters,FOD##length##inches,Lgt##length##inches
0.75x0.5,21,16,1.05,0.852
1x0.5,27,16,1.315,1.016
1x0.75,27,21,1.315,1.016
1.25x0.75,35,21,1.66,1.078
1.25x1,35,27,1.66,1.078
1.5x1,41,27,1.9,1.141
1.5x1.25,41,35,1.9,1.141
2x1,53,27,2.375,1.203
2x1.25,53,35,2.375,1.203
2x1.5,53,41,2.375,1.203
2.5x2,63,53,2.875,1.594
3x2,78,53,3.5,1.719
3x2.5,78,63,3.5,1.719
4x2,103,53,4.5,1.875
4x3,103,78,4.5,1.875
4x3.5,103,91,4.5,1.875
0.5x0.75,16,21,0.84,0.852
0.5x1,16,27,0.84,1.016
0.75x1,21,27,1.05,1.016
0.75x1.25,21,35,1.05,1.078
1x1.25,27,35,1.315,1.078
1x1.5,27,41,1.315,1.141
1.25x1.5,35,41,1.66,1.141
1x2,27,53,1.315,1.203
1.25x2,35,53,1.66,1.203
1.5x2,41,53,1.9,1.203
2x2.5,53,63,2.375,1.594
2x3,53,78,2.375,1.719
2.5x3,63,78,2.875,1.719
2x4,53,103,2.375,1.875
3x4,78,103,3.5,1.875
3.5x4,91,103,4,1.875
