,ND##length##inches,Ang##angle##degrees,SED##length##inches,SDpt##length##inches,WThk##length##inches,FOD##length##inches,CtSB##length##inches
1.25,1.25,90,1.675,0.687,0.156,1.66,1.563
1.5,1.5,90,1.915,0.687,0.156,1.9,1.750
2,2,90,2.39,0.75,0.156,2.375,2.313
3,3,90,3.52,1.5,0.219,3.5,3.063
4,4,90,4.52,1.75,0.25,4.5,3.875
6,6,90,6.647,3,0.281,6.625,5.000
8,8,90,8.655,4,0.328,8.625,6.000
10,10,90,10.78,5,0.365,10.75,14.406
12,12,90,12.78,6,0.406,12.75,16.469
1.5,1.5,60,1.915,0.687,0.156,1.9,1.000
2,2,60,2.39,0.75,0.156,2.375,1.313
3,3,60,3.52,1.5,0.219,3.5,1.688
4,4,60,4.52,1.75,0.25,4.5,2.063
1.25,1.25,45,1.675,0.687,0.156,1.66,1.000
1.5,1.5,45,1.915,0.687,0.156,1.9,1.125
2,2,45,2.39,0.75,0.156,2.375,1.500
3,3,45,3.52,1.5,0.219,3.5,1.750
4,4,45,4.52,1.75,0.25,4.5,2.188
6,6,45,6.647,3,0.281,6.625,2.063
8,8,45,8.655,4,0.328,8.625,2.063
1.5,1.5,22.5,1.915,0.687,0.156,1.9,0.500
2,2,22.5,2.39,0.75,0.156,2.375,0.688
3,3,22.5,3.52,1.5,0.219,3.5,0.813
4,4,22.5,4.52,1.75,0.25,4.5,1.000
6,6,22.5,6.647,3,0.281,6.625,1.500
