,ND##length##millimeters,FDia##length##millimeters,FThk##length##millimeters
10,10,90,14
15,15,95,14
20,20,105,16
25,25,115,16
32,32,140,18
40,40,150,18
50,50,165,20
65,65,185,20
80,80,200,22
100,100,220,24
125,125,250,26
150,150,285,26
200,200,340,26
250,250,395,28
300,300,445,28
350,350,505,30
400,400,565,32
450,450,615,32
500,500,670,34
600,600,780,36
700,700,895,40
800,800,1015,44
900,900,1115,46
1000,1000,1230,50
1200,1200,1455,56
1400,1400,1675,62
1600,1600,1915,68
1800,1800,2115,70
2000,2000,2325,74
