,ND##length##millimeters,FDia##length##millimeters,FThk##length##millimeters
10,10,90,14
15,15,95,14
20,20,105,16
25,25,115,16
32,32,140,18
40,40,150,18
50,50,165,20
65,65,185,20
80,80,200,20
100,100,220,22
125,125,250,22
150,150,285,24
200,200,340,24
250,250,395,26
300,300,445,26
350,350,505,26
400,400,565,26
450,450,615,28
500,500,670,28
600,600,780,34
700,700,895,34
800,800,1015,36
900,900,1115,38
1000,1000,1230,38
1200,1200,1455,44
1400,1400,1675,48
1600,1600,1915,52
1800,1800,2115,56
2000,2000,2325,60
