,ND##length##millimeters,FDia##length##millimeters,FThk##length##millimeters,RFD##length##millimeters,RFT##length##millimeters
40,40,150,19,84,3
50,50,165,19,99,3
65,65,185,19,118,3
80,80,200,19,132,3
100,100,235,19,156,3
125,125,270,19,184,3
150,150,300,20,211,3
200,200,360,22,274,3
250,250,425,24.5,330,3
300,300,485,27.5,389,4
350,350,555,30,448,4
400,400,620,32,503,4
450,450,670,34.5,548,4
500,500,730,36.5,609,4
600,600,845,42,720,5
700,700,960,46.5,820,5
800,800,1085,51,928,5
900,900,1185,55.5,1028,5
1000,1000,1320,60,1140,5
1200,1200,1530,69,1350,5
1400,1400,1750,74,1560,5
1600,1600,1975,81,1780,5
1800,1800,2195,88,1980,5
2000,2000,2425,95,2210,5
