,ND##length##millimeters,FDia##length##millimeters,FThk##length##millimeters,RFD##length##millimeters,RFT##length##millimeters
10,10,90,14,41,2
15,15,95,14,46,2
20,20,105,16,56,2
25,25,115,16,65,3
32,32,140,18,76,3
40,40,150,18,84,3
50,50,165,20,99,3
65,65,185,20,118,3
80,80,200,22,132,3
100,100,220,24,156,3
125,125,250,26,184,3
150,150,285,26,211,3
200,200,340,26,266,3
250,250,395,28,319,3
300,300,445,28,370,4
350,350,505,30,429,4
400,400,565,32,480,4
450,450,615,32,530,4
500,500,670,34,582,4
600,600,780,36,682,5
700,700,895,40,794,5
800,800,1015,44,901,5
900,900,1115,46,1001,5
1000,1000,1230,50,1112,5
1200,1200,1455,56,1328,5
1400,1400,1675,62,1530,5
1600,1600,1915,68,1750,5
1800,1800,2115,70,1950,5
2000,2000,2325,74,2150,5
