,ND##length##millimeters,FDia##length##millimeters,FThk##length##millimeters,RFD##length##millimeters,RFT##length##millimeters
25,25,110,11.5,51,2
32,32,120,13,63.5,2
40,40,130,14.5,73,2
50,50,150,16,92,2
65,65,180,17.5,105,2
80,80,190,19.5,127,2
100,100,230,24,157.5,2
125,125,255,24,186,2
150,150,280,25.5,216,2
200,200,345,29,270,2
250,250,405,30.5,324,2
300,300,485,32,384,2
350,350,535,35,413,2
400,400,600,37,470,2
450,450,635,40,533.5,2
500,500,700,43,584.5,2
600,600,815,48,692.5,2
,,, ,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,, ,
