,ND##length##inches,FOD##length##millimeters,Hgt##length##millimeters
0.5,0.5,21.3,25
0.75,0.75,26.7,25
1,1,33.4,38
1.25,1.25,42.2,38
1.5,1.5,48.3,38
2,2,60.3,38
2.5,2.5,73,38
3,3,88.9,51
3.5,3.5,101.6,64
4,4,114.3,64
5,5,141.3,76
6,6,168.3,89
8,8,219.1,102
10,10,273,127
12,12,323.8,152
14,14,355.6,165
16,16,406.4,178
18,18,457,203
20,20,508,229
22,22,559,254
24,24,610,267
26,26,660,267
28,28,711,267
30,30,762,267
32,32,813,267
34,34,864,267
36,36,914,267
38,38,965,305
40,40,1016,305
42,42,1067,305
44,44,1118,343
46,46,1168,343
48,48,1219,343
