,ND##length##millimeters,FOD##length##millimeters,Lgt##length##millimeters
0.5,15,21.3,38
0.75,20,26.7,38
1,25,33.4,57
1.25,32,42.2,57
1.5,40,48.3,57
2,50,60.3,57
2.5,65,73,57
3,80,88.9,77
3.5,90,101.6,96
4,100,114.3,96
5,125,141.3,114
6,150,168.3,134
8,200,219.1,153
10,250,273,191
12,300,323.8,228
14,350,355.6,248
16,400,406.4,267
18,450,457,305
20,500,508,344
22,550,559,381
24,600,610,401
26,650,660,401
28,700,711,401
30,750,762,401
32,800,813,401
34,850,864,401
36,900,914,401
38,950,965,458
40,1000,1016,458
42,1050,1067,458
44,1100,1118,515
46,1150,1168,515
48,1200,1219,515
