,ND1##length##inches,ND2##length##inches,BWid##length##millimeters,FID##length##millimeters,MThk##length##millimeters,BOD##length##millimeters,Lgt##length##millimeters
0.375x0.25,0.375,0.25,11.2,17.1,3.8,28.5,36.6
0.5x0.375,0.5,0.375,12.7,21.3,4.1,34,42.9
0.5x0.25,0.5,0.25,12.7,21.3,4.1,34,42.9
0.75x0.5,0.75,0.5,14.2,26.7,4.6,41.4,44.5
0.75x0.375,0.75,0.375,14.2,26.7,4.6,41.4,44.5
0.75x0.25,0.75,0.25,14.2,26.7,4.6,41.4,44.5
1x0.75,1,0.75,15.8,33.4,5.1,49.5,50.8
1x0.5,1,0.5,15.8,33.4,5.1,49.5,50.8
1x0.375,1,0.375,15.8,33.4,5.1,49.5,50.8
1x0.25,1,0.25,15.8,33.4,5.1,49.5,50.8
1.25x1,1.25,1,17.5,42.2,5.6,60.7,60.5
1.25x0.75 ,1.25,0.75,17.5,42.2,5.6,60.7,60.5
1.25x0.5,1.25,0.5,17.5,42.2,5.6,60.7,60.5
1.5x1.25,1.5,1.25,19.1,48.3,6.1,68.1,68.3
1.5x1,1.5,1,19.1,48.3,6.1,68.1,68.3
1.5x0.75,1.5,0.75,19.1,48.3,6.1,68.1,68.3
1.5x0.5,1.5,0.5,19.1,48.3,6.1,68.1,68.3
2x1.5,2,1.5,21.3,60.3,6.6,83.3,81
2x1.25,2,1.25,21.3,60.3,6.6,83.3,81
2x1,2,1,21.3,60.3,6.6,83.3,81
2x0.75,2,0.75,21.3,60.3,6.6,83.3,81
2x0.5,2,0.5,21.3,60.3,6.6,83.3,81
2.5x2,2.5,2,23.9,73,7.9,98,93.7
2.5x1.5,2.5,1.5,23.9,73,7.9,98,93.7
3x2.5,3,2.5,25.4,88.9,8.9,117.3,103.1
3x2,3,2,25.4,88.9,8.9,117.3,103.1
3x1.5,3,1.5,25.4,88.9,8.9,117.3,103.1
0.25x0.375,0.25,0.375,9.7,13.7,3.6,23.6,36.6
0.375x0.5,0.375,0.5,11.2,17.1,3.8,28.5,42.9
0.25x0.5,0.25,0.5,9.7,13.7,3.6,23.6,42.9
0.5x0.75,0.5,0.75,12.7,21.3,4.1,34,44.5
0.375x0.75,0.375,0.75,11.2,17.1,3.8,28.5,44.5
0.25x0.75,0.25,0.75,9.7,13.7,3.6,23.6,44.5
0.75x1,0.75,1,14.2,26.7,4.6,41.4,50.8
0.5x1,0.5,1,12.7,21.3,4.1,34,50.8
0.375x1,0.375,1,11.2,17.1,3.8,28.5,50.8
0.25x1,0.25,1,9.7,13.7,3.6,23.6,50.8
1x1.25,1,1.25,15.8,33.4,5.1,49.5,60.5
0.75x1.25 ,0.75,1.25,14.2,26.7,4.6,41.4,60.5
0.5x1.25,0.5,1.25,12.7,21.3,4.1,34,60.5
1.25x1.5,1.25,1.5,17.5,42.2,5.6,60.7,68.3
1x1.5,1,1.5,15.8,33.4,5.1,49.5,68.3
0.75x1.5,0.75,1.5,14.2,26.7,4.6,41.4,68.3
0.5x1.5,0.5,1.5,12.7,21.3,4.1,34,68.3
1.5x2,1.5,2,19.1,48.3,6.1,68.1,81
1.25x2,1.25,2,17.5,42.2,5.6,60.7,81
1x2,1,2,15.8,33.4,5.1,49.5,81
0.75x2,0.75,2,14.2,26.7,4.6,41.4,81
0.5x2,0.5,2,12.7,21.3,4.1,34,81
2x2.5,2,2.5,21.3,60.3,6.6,83.3,93.7
1.5x2.5,1.5,2.5,19.1,48.3,6.1,68.1,93.7
2.5x3,2.5,3,23.9,73,7.9,98,103.1
2x3,2,3,21.3,60.3,6.6,83.3,103.1
1.5x3,1.5,3,19.1,48.3,6.1,68.1,103.1
