,ND##length##inches,FDia##length##millimeters,FThk##length##millimeters,FID##length##millimeters,WThk##length##millimeters,CtF##length##millimeters,RFD##length##millimeters
1,1,124,17.5,25,11.1,102,68
1.25,1.25,133,19,32,11.1,108,78
1.5,1.5,156,20.6,38,11.1,114,91
2,2,165,22.2,51,11.1,127,106
2.5,2.5,191,25.4,64,12.7,140,125
3,3,210,28.6,76,14.3,152,144
3.5,3.5,229,30.2,89,14.3,165,160
4,4,254,31.8,102,15.9,178,176
5,5,279,34.9,127,17.5,203,211
6,6,318,36.5,152,19,216,246
8,8,381,41.3,203,20.6,254,303
10,10,445,47.6,254,23.8,292,357
12,12,521,50.8,305,25.4,330,418
14,14,584,54,337,28.6,381,481
16,16,648,57.2,387,31.8,419,535
18,18,711,60.3,432,34.9,457,592
20,20,775,63.5,483,38.1,495,649
24,24,916,69.8,584,41.3,572,770
30,30,1092,76.2,737,50.8,699,945
