,ND##length##inches,FOD##length##millimeters,CtE##length##millimeters
0.5,0.5,21.3,25
0.75,0.75,26.7,29
1,1,33.4,38
1.25,1.25,42.2,48
1.5,1.5,48.3,57
2,2,60.3,64
2.5,2.5,73,76
3,3,88.9,86
3.5,3.5,101.6,95
4,4,114.3,105
5,5,141.3,124
6,6,168.3,143
8,8,219.1,178
10,10,273,216
12,12,323.8,254
14,14,355.6,279
16,16,406.4,305
18,18,457,343
20,20,508,381
22,22,559,419
24,24,610,432
26,26,660,495
28,28,711,521
30,30,762,559
32,32,813,597
34,34,864,635
36,36,914,673
38,38,965,711
40,40,1016,749
42,42,1067,762
44,44,1118,813
46,46,1168,851
48,48,1219,889
