,ND##length##inches,FDia##length##millimeters,FThk##length##millimeters,FID##length##millimeters,WThk##length##millimeters,CtF##length##millimeters,CtFR##length##millimeters,CtFO##length##millimeters,OSaS##length##inches
1,1,108,11.1,25,7.9,89,1,1,1
1.25,1.25,118,12.7,32,7.9,95,1,1,1
1.5,1.5,127,14.3,38,7.9,102,1,1,1
2,2,152,15.9,51,7.9,114,1,1,1
2.5,2.5,178,17.5,64,7.9,127,1,1,1
3,3,191,19,76,9.5,140,1,1,1
3.5,3.5,216,23.8,89,11.1,152,1,1,1
4,4,229,23.8,102,12.7,165,1,1,1
5,5,254,23.8,127,12.7,191,1,1,1
6,6,279,25.4,152,14.3,203,1,1,1
8,8,343,28.6,203,15.9,229,1,1,1
10,10,406,30.2,254,19,279,1,1,1
12,12,483,31.8,305,20.6,305,1,1,1
14,14,533,34.9,356,22.2,356,1,1,1
16,16,597,36.5,406,25.4,381,1,1,1
18,18,635,39.7,457,27,419,330,393,12
20,20,699,42.9,508,28.6,457,356,432,14
24,24,813,47.6,610,31.8,559,381,483,16
30,30,984,54,762,36.5,635,457,584,20
36,36,1168,60.3,914,41.3,711,508,660,24
42,42,1346,66.7,1067,46,787,584,762,24
48,48,1511,69.9,1219,50.8,864,660,864,30
