 ,ND##length##inches,FDia##length##millimeters,FThk##length##millimeters,FID##length##millimeters,WThk##length##millimeters,CtF##length##millimeters,CtFR##length##millimeters,CtFO##length##millimeters,OSaS##length##inches
4,4,229,19,102,11,165,1,1,1
5,5,254,19,127,11,191,1,1,1
6,6,279,19,152,11,203,1,1,1
8,8,343,19,203,12,229,1,1,1
10,10,406,22.2,254,13,279,1,1,1
12,12,483,25.4,305,14,305,1,1,1
14,14,533,28.6,356,15,356,1,1,1
16,16,597,28.6,406,15,381,1,1,1
18,18,645,31.8,457,16,419,330,394,12
20,20,698,31.8,508,17,457,356,432,14
24,24,813,34.9,610,19,559,381,483,16
30,30,984,38.1,762,22,635,457,584,20
36,36,1168,41.3,914,25,711,508,660,24
42,42,1346,44.5,1067,28,787,584,762,24
48,48,1511,50.8,1219,32,864,660,864,30
54,54,1683,57.2,1372,34,991,737,940,36
60,60,1854,57.2,1524,35,1118,838,1041,40
72,72,2197,63.5,1829,41,1346,1016,1219,48
