,ND1##length##inches,ND2##length##inches,ND3##length##inches,ND4##length##inches,CtE1##length##millimeters,CtE2##length##millimeters,BWid##length##millimeters,FID##length##millimeters,MThk##length##millimeters,BOD##length##millimeters
0.75x0.75x0.5x0.5,0.75,0.75,0.5,0.5,30.5,31,6.9,26.7,3.05,37
1x1x0.75x0.75,1,1,0.75,0.75,34.8,36.8,7.7,33.4,3.4,45
1x1x0.5x0.5,1,1,0.5,0.5,32,35.5,7.7,33.4,3.4,45
1.25x1.25x1x1,1.25,1.25,1,1,40.1,42.4,8.7,42.2,3.68,54.7
1.25x1.25x0.75x0.75,1.25,1.25,0.75,0.75,36.8,41.2,8.7,42.2,3.68,54.7
1.5x1.5x1.25x1.25,1.5,1.5,1.25,1.25,46.2,47.8,9.3,48.3,3.94,61.6
1.5x1.5x1x1,1.5,1.5,1,1,41.9,45.7,9.3,48.3,3.94,61.6
1.5x1.5x0.75x0.75,1.5,1.5,0.75,0.75,38.6,44.5,9.3,48.3,3.94,61.6
2x2x1.5x1.5,2,2,1.5,1.5,51.3,54.9,10.7,60.3,4.39,75.3
2x2x1.25x1.25,2,2,1.25,1.25,48.3,53.3,10.7,60.3,4.39,75.3
2x2x1x1,2,2,1,1,43.9,51.3,10.7,60.3,4.39,75.3
2x2x0.75x0.75,2,2,0.75,0.75,40.6,50,10.7,60.3,4.39,75.3
2.5x2.5x2x2,2.5,2.5,2,2,60.7,66,12.1,73,5.33,91.2
3x3x2x2,3,3,2,2,64,73.4,13.9,88.9,5.87,108.8
0.5x0.5x0.75x0.75,0.5,0.5,0.75,0.75,31,30.5,6.3,21.3,2.67,30.4
0.75x0.75x1x1,0.75,0.75,1,1,36.8,34.8,6.9,26.7,3.05,37
0.5x0.5x1x1,0.5,0.5,1,1,35.5,32,6.3,21.3,2.67,30.4
1x1x1.25x1.25,1,1,1.25,1.25,42.4,40.1,7.7,33.4,3.4,45
0.75x0.75x1.25x1.25,0.75,0.75,1.25,1.25,41.2,36.8,6.9,26.7,3.05,37
1.25x1.25x1.5x1.5,1.25,1.25,1.5,1.5,47.8,46.2,8.7,42.2,3.68,54.7
1x1x1.5x1.5,1,1,1.5,1.5,45.7,41.9,7.7,33.4,3.4,45
0.75x0.75x1.5x1.5,0.75,0.75,1.5,1.5,44.5,38.6,6.9,26.7,3.05,37
1.5x1.5x2x2,1.5,1.5,2,2,54.9,51.3,9.3,48.3,3.94,61.6
1.25x1.25x2x2,1.25,1.25,2,2,53.3,48.3,8.7,42.2,3.68,54.7
1x1x2x2,1,1,2,2,51.3,43.9,7.7,33.4,3.4,45
0.75x0.75x2x2,0.75,0.75,2,2,50,40.6,6.9,26.7,3.05,37
2x2x2.5x2.5,2,2,2.5,2.5,66,60.7,10.7,60.3,4.39,75.3
2x2x3x3,2,2,3,3,73.4,64,10.7,60.3,4.39,75.3
