,ND##length##inches,FThk##length##millimeters,RFD##length##millimeters,FID##length##millimeters,WThk##length##millimeters,FOD##length##millimeters,CtCS1##length##millimeters,CtCS2##length##millimeters
1,1,9.6,50.8,25,4,110,89,44
1.25,1.25,11.2,63.5,32,4.8,115,95,51
1.5,1.5,12.7,73,38,4.8,125,102,57
2,2,14.3,92.1,51,5.6,150,114,64
2.5,2.5,15.9,104.8,64,5.6,180,127,76
3,3,17.5,127,76,5.6,190,140,76
3.5,3.5,19.1,139.7,89,6.4,215,152,89
4,4,22.3,157.2,102,6.4,230,165,102
5,5,22.3,185.7,127,7.1,255,190,114
6,6,23.9,215.9,152,7.1,280,203,127
8,8,27,269.9,203,7.9,345,229,140
10,10,28.6,323.8,254,8.7,405,279,165
12,12,30.2,381,305,9.5,485,305,190
14,14,33.4,412.8,337,10.3,535,356,190
16,16,35,469.9,387,11.1,595,381,203
18,18,38.1,533.4,438,11.9,635,419,216
20,20,41.3,584.2,489,12.7,700,457,241
24,24,46.1,692.2,591,14.5,815,559,279
