,ND##length##inches,Ang##angle##degrees,SOD##length##inches,CtE##length##inches,SLgt##length##inches
0.5,0.5,90,1.094,1.25,0.75
0.75,0.75,90,1.281,1.281,0.719
1,1,90,1.594,1.563,0.875
1.25,1.25,90,2,2.125,1.25
1.5,1.5,90,2.25,2.313,1.313
2,2,90,2.688,2.406,1.156
2.5,2.5,90,3.344,3.25,1.75
3,3,90,3.969,3.813,2
4,4,90,5,4.375,2.063
6,6,90,7.25,7,3.5
8,8,90,9.375,8.531,4
0.5,0.5,45,1.094,1.063,0.75
0.75,0.75,45,1.313,1.031,0.719
1,1,45,1.656,1.438,1.125
1.25,1.25,45,2,1.75,1.25
1.5,1.5,45,2.25,1.906,1.313
2,2,45,2.75,2.125,1.375
2.5,2.5,45,3.313,2.469,1.781
3,3,45,3.969,2.844,2
4,4,45,5,3.156,2.063
6,6,45,7.25,5.25,3.5
8,8,45,9.375,6.844,4.5
