,ND##length##millimeters,Ang##angle##degrees,FOD##length##millimeters,EOD##length##millimeters,SID##length##millimeters,WThk##length##millimeters,CtE##length##millimeters,CtS##length##millimeters
15,15,90,15.88,22.2,16.3,0.8,48,27
20,20,90,22.22,30.1,22.5,1,58,34
25,25,90,28.58,36.4,28.9,1,66,42
32,32,90,34,45.4,34.8,1,91,52
40,40,90,42.7,56.2,43.5,1.2,110,63
50,50,90,48.6,63.2,49.5,1.2,122,70
65,65,90,76.1,94.7,76.7,1.2,235,182
80,80,90,88.9,109.5,89.5,2,277,217
100,100,90,108,132.8,108.8,2,341,266
15,15,45,15.88,22.2,16.3,0.8,36,15
20,20,45,22.22,30.1,22.5,1,42,18
25,25,45,28.58,36.4,28.9,1,46,22
32,32,45,34,45.4,34.8,1,66,28
40,40,45,42.7,56.2,43.5,1.2,78,32
50,50,45,48.6,63.2,49.5,1.2,87,35
65,65,45,76.1,94.7,76.7,1.2,180,127
80,80,45,88.9,109.5,89.5,2,211,151
100,100,45,108,132.8,108.8,2,258,183
