,ND##length##inches,CtE1##length##millimeters,CtE2##length##millimeters,BWid##length##millimeters,FID##length##millimeters,MThk##length##millimeters,BOD##length##millimeters
0.125,0.125,17.5,16.7,5.1,10.3,2.29,17.6
0.25,0.25,20.6,18.5,5.5,13.7,2.41,21.4
0.375,0.375,24.1,20.3,5.8,17.1,2.54,25.8
0.5,0.5,28.5,22.4,6.3,21.3,2.67,30.4
0.75,0.75,33.3,24.9,6.9,26.7,3.05,37
1,1,38.1,28.5,7.7,33.4,3.4,45
1.25,1.25,44.5,32.8,8.7,42.2,3.68,54.7
1.5,1.5,49.3,36.3,9.3,48.3,3.94,61.6
2,2,57.2,42.7,10.7,60.3,4.39,75.3
2.5,2.5,68.6,49.5,12.1,73,5.33,91.2
3,3,78.2,55.1,13.9,88.9,5.87,108.8
3.5,3.5,86.9,60.7,15.3,101.6,6.3,123
4,4,96.3,66.3,16.8,114.4,6.73,137.2
5,5,114.3,77.5,19.8,141.3,7.62,167.2
6,6,130.3,87.9,22.9,168.3,8.53,197.3
