,ND##length##millimeters,Ang##angle##degrees,FOD##length##millimeters,MThk##length##millimeters,TLgt##length##millimeters,CtE##length##millimeters
15,15,90,21.3,2.75,13,27
20,20,90,26.8,2.75,15,32
25,25,90,33.5,3.25,17,38
32,32,90,42.3,3.25,20,46
40,40,90,48,3.5,20,48
50,50,90,60,3.5,24,57
65,65,90,75.5,3.75,26,69
80,80,90,88.5,4,28,78
100,100,90,114,4,33,97
125,125,90,140,4,35,113
150,150,90,165,4.5,37,132
15,15,45,21.3,2.75,13,21
20,20,45,26.8,2.75,15,25
25,25,45,33.5,3.25,17,29
32,32,45,42.3,3.25,20,34
40,40,45,48,3.5,20,37
50,50,45,60,3.5,24,42
65,65,45,75.5,3.75,26,49
80,80,45,88.5,4,28,54
100,100,45,114,4,33,65
125,125,45,140,4,35,74
150,150,45,165,4.5,37,82
