,ND1##length##millimeters,ND2##length##millimeters,Ang##angle##degrees,FOD##length##millimeters,EOD##length##millimeters,SID##length##millimeters,WThk##length##millimeters,CtE1##length##millimeters,CtE2##length##millimeters,CtS1##length##millimeters,CtS2##length##millimeters
20x15,20,15,90,22.22,30.1,22.5,1,60.5,48,36.5,27
25x15,25,15,90,28.58,36.4,28.9,1,67,48,51,27
25x20,25,20,90,28.58,36.4,28.9,1,69,58,45,34
32x20,32,20,90,34,45.4,34.8,1,103,58,64,34
15x20,15,20,90,15.88,22.2,16.3,0.8,48,60.5,27,36.5
15x25,15,25,90,15.88,22.2,16.3,0.8,48,67,27,51
20x25,20,25,90,22.22,30.1,22.5,1,58,69,34,45
20x32,20,32,90,22.22,30.1,22.5,1,58,103,34,64
20x15,20,15,45,22.22,30.1,22.5,1,49.5,36,25.5,15
15x20,15,20,45,15.88,22.2,16.3,0.8,36,49.5,15,25.5
