,ND1##length##inches,ND2##length##inches,CtE1##length##millimeters,CtE2##length##millimeters,BWid##length##millimeters,FID##length##millimeters,MThk##length##millimeters,BOD##length##millimeters
0.25x0.125,0.25,0.125,19.3,18.8,5.5,13.7,2.41,21.4
0.375x0.25,0.375,0.25,22.9,22.4,5.8,17.1,2.54,25.8
0.375x0.125,0.375,0.125,21.6,20.5,5.8,17.1,2.54,25.8
0.5x0.375,0.5,0.375,26.2,26.4,6.3,21.3,2.67,30.4
0.5x0.25,0.5,0.25,24.9,24.6,6.3,21.3,2.67,30.4
0.75x0.5,0.75,0.5,31,30.5,6.9,26.7,3.05,37
0.75x0.375,0.75,0.375,28.7,28.5,6.9,26.7,3.05,37
0.75x0.25,0.75,0.25,27.4,26.7,6.9,26.7,3.05,37
1x0.75,1,0.75,36.8,34.8,7.7,33.4,3.4,45
1x0.5,1,0.5,35.5,32,7.7,33.4,3.4,45
1x0.375,1,0.375,32.3,30,7.7,33.4,3.4,45
1.25x1,1.25,1,42.4,40.1,8.7,42.2,3.68,54.7
1.25x0.75,1.25,0.75,41.2,36.8,8.7,42.2,3.68,54.7
1.25x0.5,1.25,0.5,38.9,34,8.7,42.2,3.68,54.7
1.5x1.25,1.5,1.25,47.8,46.2,9.3,48.3,3.94,61.6
1.5x1,1.5,1,45.7,41.9,9.3,48.3,3.94,61.6
1.5x0.75,1.5,0.75,44.5,38.6,9.3,48.3,3.94,61.6
2x1.5,2,1.5,54.9,51.3,10.7,60.3,4.39,75.3
2x1.25,2,1.25,53.3,48.3,10.7,60.3,4.39,75.3
2x1,2,1,51.3,43.9,10.7,60.3,4.39,75.3
2x0.75,2,0.75,50,40.6,10.7,60.3,4.39,75.3
2.5x2,2.5,2,66,60.7,12.1,73,5.33,91.2
2.5x1.5,2.5,1.5,63.8,54.9,12.1,73,5.33,91.2
3x2.5,3,2.5,75.9,71.9,13.9,88.9,5.87,108.8
3x2,3,2,73.4,64,13.9,88.9,5.87,108.8
4x3,4,3,91.4,83.8,16.8,114.4,6.73,137.2
0.125x0.25,0.125,0.25,18.8,19.3,5.1,10.3,2.29,17.6
0.25x0.375,0.25,0.375,22.4,22.9,5.5,13.7,2.41,21.4
0.125x0.375,0.125,0.375,20.5,21.6,5.1,10.3,2.29,17.6
0.375x0.5,0.375,0.5,26.4,26.2,5.8,17.1,2.54,25.8
0.25x0.5,0.25,0.5,24.6,24.9,5.5,13.7,2.41,21.4
0.5x0.75,0.5,0.75,30.5,31,6.3,21.3,2.67,30.4
0.375x0.75,0.375,0.75,28.5,28.7,5.8,17.1,2.54,25.8
0.25x0.75,0.25,0.75,26.7,27.4,5.5,13.7,2.41,21.4
0.75x1,0.75,1,34.8,36.8,6.9,26.7,3.05,37
0.5x1,0.5,1,32,35.5,6.3,21.3,2.67,30.4
0.375x1,0.375,1,30,32.3,5.8,17.1,2.54,25.8
1x1.25,1,1.25,40.1,42.4,7.7,33.4,3.4,45
0.75x1.25,0.75,1.25,36.8,41.2,6.9,26.7,3.05,37
0.5x1.25,0.5,1.25,34,38.9,6.3,21.3,2.67,30.4
1.25x1.5,1.25,1.5,46.2,47.8,8.7,42.2,3.68,54.7
1x1.5,1,1.5,41.9,45.7,7.7,33.4,3.4,45
0.75x1.5,0.75,1.5,38.6,44.5,6.9,26.7,3.05,37
1.5x2,1.5,2,51.3,54.9,9.3,48.3,3.94,61.6
1.25x2,1.25,2,48.3,53.3,8.7,42.2,3.68,54.7
1x2,1,2,43.9,51.3,7.7,33.4,3.4,45
0.75x2,0.75,2,40.6,50,6.9,26.7,3.05,37
2x2.5,2,2.5,60.7,66,10.7,60.3,4.39,75.3
1.5x2.5,1.5,2.5,54.9,63.8,9.3,48.3,3.94,61.6
2.5x3,2.5,3,71.9,75.9,12.1,73,5.33,91.2
2x3,2,3,64,73.4,10.7,60.3,4.39,75.3
3x4,3,4,83.8,91.4,13.9,88.9,5.87,108.8
