,ND##length##inches,FDia##length##millimeters,FThk##length##millimeters,RFD##length##millimeters,FID##length##millimeters,WThk##length##millimeters,CtF1##length##millimeters,CtF2##length##millimeters,CtB##length##millimeters,SBW##length##millimeters,BThk##length##millimeters,RThk##length##millimeters
2,2,165,22.2,106,51,11.1,127,76,114,133,19,13
2.5,2.5,191,25.4,125,64,12.7,140,89,121,133,19,13
3,3,210,28.6,144,76,14.3,152,89,133,156,21,16
3.5,3.5,229,30.2,160,89,14.3,165,102,143,156,21,16
4,4,254,31.8,176,102,15.9,178,114,152,165,22,16
5,5,279,34.9,211,127,17.5,203,127,171,191,25,19
6,6,318,36.5,246,152,19,216,140,191,191,25,19
8,8,381,41.3,303,203,20.6,254,152,229,254,32,22
10,10,445,47.6,357,254,23.8,292,178,267,254,32,22
12,12,521,50.8,418,305,25.4,330,203,305,318,37,25
14,14,584,54,481,337,28.6,381,216,343,318,37,25
16,16,648,57.2,535,387,31.8,419,241,375,318,37,29
18,18,711,60.3,592,432,34.9,457,254,413,381,41,29
20,20,775,63.5,649,483,38.1,495,267,454,381,41,32
24,24,916,69.8,770,584,41.3,572,305,527,445,48,32
