,ND##length##inches,FDia##length##millimeters,FThk##length##millimeters,PDia##length##millimeters,WThk##length##millimeters
1,1,108,11.1,25,9.6
1.25,1.25,118,12.7,32,11.1
1.5,1.5,127,14.3,38,12.7
2,2,152,15.9,51,14.3
2.5,2.5,178,17.5,64,15.9
3,3,191,19,76,17.5
3.5,3.5,216,20.6,89,19
4,4,229,23.8,102,22.2
5,5,254,23.8,127,22.2
6,6,279,25.4,152,23.8
8,8,343,28.6,203,27
10,10,406,30.2,254,28.6
12,12,483,31.8,305,20.6
14,14,533,34.9,356,22.2
16,16,597,36.5,406,25.4
18,18,635,39.7,457,27
20,20,699,42.9,508,28.6
24,24,813,47.6,610,31.8
30,30,984,54,762,36.6
36,36,1168,60.3,914,41.3
42,42,1346,66.7,1066,46
48,48,1511,69.9,1219,50.8
