,ND##length##inches,FDia##length##millimeters,FThk##length##millimeters,RFD##length##millimeters,PDia##length##millimeters,WThk##length##millimeters
1,1,124,17.5,68,25,11.3
1.25,1.25,133,19,78,32,11.6
1.5,1.5,156,20.6,91,38,12.1
2,2,165,22.2,106,51,12.6
2.5,2.5,191,25.4,125,64,13.4
3,3,210,28.6,144,76,14.2
3.5,3.5,229,30.2,160,89,14.8
4,4,254,31.8,176,102,15.3
5,5,279,34.9,211,127,16.7
6,6,318,36.5,246,152,18.0
8,8,381,41.3,303,203,20.8
10,10,445,47.6,357,254,23.8
12,12,521,50.8,418,305,25.4
14,14,584,54,481,337,28.6
16,16,648,57.2,535,387,31.8
18,18,711,60.3,592,432,34.9
20,20,775,63.5,649,483,38.1
24,24,916,69.8,770,584,41.3
30,30,1092,76.2,945,737,50.8
