,ND##length##inches,FOD##length##millimeters,FThk##length##millimeters,RFD##length##millimeters
0.5,0.5,90,9.6,34.9
0.75,0.75,100,11.2,42.9
1,1,110,12.7,50.8
1.25,1.25,115,14.3,63.5
1.5,1.5,125,15.9,73
2,2,150,17.5,92.1
2.5,2.5,180,20.7,104.8
3,3,190,22.3,127
3.5,3.5,215,22.3,139.7
4,4,230,22.3,157.2
5,5,255,22.3,185.7
6,6,280,23.9,215.9
8,8,345,27,269.9
10,10,405,28.6,323.8
12,12,485,30.2,381
14,14,535,33.4,412.8
16,16,595,35,469.9
18,18,635,38.1,533.4
20,20,700,41.3,584.2
24,24,815,46.1,692.2
