,ND##length##inches,FOD##length##millimeters,FThk##length##millimeters,HDia##length##millimeters,LTH##length##millimeters,RFD##length##millimeters
0.5,0.5,95,12.7,38,21,34.9
0.75,0.75,115,14.3,48,24,42.9
1,1,125,15.9,54,25,50.8
1.25,1.25,135,17.5,64,25,63.5
1.5,1.5,155,19.1,70,29,73
2,2,165,20.7,84,32,92.1
2.5,2.5,190,23.9,100,37,104.8
3,3,210,27,117,41,127
3.5,3.5,230,28.6,133,43,139.7
4,4,255,30.2,146,46,157.2
5,5,280,33.4,178,49,185.7
6,6,320,35,206,51,215.9
8,8,380,39.7,260,60,269.9
10,10,445,46.1,321,65,323.8
12,12,520,49.3,375,71,381
14,14,585,52.4,425,75,412.8
16,16,650,55.6,483,81,469.9
18,18,710,58.8,533,87,533.4
20,20,775,62,587,94,584.2
24,24,915,68.3,702,105,692.2
