,ND##length##inches,FDia##length##millimeters,FThk##length##millimeters,HDia##length##millimeters,Lgt##length##millimeters
1,1,108,11.1,49,18
1.25,1.25,118,12.7,59,21
1.5,1.5,127,14.3,65,22
2,2,152,15.9,78,25
2.5,2.5,178,17.5,91,29
3,3,191,19,108,30
3.5,3.5,216,20.6,122,32
4,4,229,23.8,135,33
5,5,254,23.8,164,37
6,6,279,25.4,192,40
8,8,343,28.6,246,45
10,10,406,30.2,303,49
12,12,483,31.8,357,56
14,14,533,34.9,391,57
16,16,597,36.5,445,64
18,18,635,39.7,499,68
20,20,699,42.9,553,73
24,24,813,47.6,660,83
30,30,984,54,820,101
36,36,1168,60.3,979,117
42,42,1346,66.7,1137,133
48,48,1511,69.9,1296,149
