,ND##length##inches,FDia##length##millimeters,FThk##length##millimeters,RFD##length##millimeters,HDia##length##millimeters,Lgt##length##millimeters
1,1,124,17.5,68,52,22
1.25,1.25,133,19,78,64,25
1.5,1.5,156,20.6,91,70,29
2,2,165,22.2,106,84,32
2.5,2.5,191,25.4,125,100,37
3,3,210,28.6,144,118,40
3.5,3.5,229,30.2,160,133,41
4,4,254,31.8,176,146,44
5,5,279,34.9,211,178,48
6,6,318,36.5,246,206,49
8,8,381,41.3,303,260,56
10,10,445,47.6,357,321,60
12,12,521,50.8,418,375,65
14,14,584,54,481,413,68
16,16,648,57.2,535,467,73
18,18,711,60.3,592,534,84
20,20,775,63.5,649,590,90
24,24,916,69.8,770,702,103
30,30,1092,76.2,945,870,121
