,ND##length##inches,FOD##length##millimeters,FThk##length##millimeters,HDia##length##millimeters,LTH##length##millimeters,RFD##length##millimeters,HBD##length##millimeters
0.5,0.5,120,22.3,38,60,34.9,21.3
0.75,0.75,130,25.4,44,70,42.9,26.7
1,1,150,28.6,52,73,50.8,33.4
1.25,1.25,160,28.6,64,73,63.5,42.2
1.5,1.5,180,31.8,70,83,73,48.3
2,2,215,38.1,105,102,92.1,60.3
2.5,2.5,245,41.3,124,105,104.8,73
3,3,265,47.7,133,117,127,88.9
4,4,310,54,162,124,157.2,114.3
5,5,375,73.1,197,156,185.7,141.3
6,6,395,82.6,229,171,215.9,168.3
8,8,485,92.1,292,213,269.9,219.1
10,10,585,108,368,254,323.8,273
12,12,675,123.9,451,283,381,323.8
14,14,750,133.4,495,298,412.8,355.6
16,16,825,146.1,552,311,469.9,406.4
18,18,915,162,597,327,533.4,457
20,20,985,177.8,641,356,584.2,508
24,24,1170,203.2,762,406,692.2,610
