,ND##length##millimeters,FOD##length##millimeters,FThk##length##millimeters,FHgt##length##millimeters,FND##length##millimeters
10,10,90,14,22,30
15,15,95,14,22,35
20,20,105,16,26,45
25,25,115,16,28,52
32,32,140,18,30,60
40,40,150,18,32,70
50,50,165,20,34,84
65,65,185,20,32,104
80,80,200,20,34,118
100,100,220,22,40,140
125,125,250,22,44,168
150,150,285,24,44,195
200,200,340,24,44,246
250,250,395,26,46,298
300,300,445,26,46,350
350,350,505,26,53,412
400,400,565,26,57,475
450,450,615,28,63,525
500,500,670,28,67,581
600,600,780,34,75,678
