,ND##length##millimeters,FOD##length##millimeters,FThk##length##millimeters,RFD##length##millimeters
10,10,90,14,41
15,15,95,14,46
20,20,105,16,56
25,25,115,16,65
32,32,140,18,76
40,40,150,18,84
50,50,165,20,99
65,65,185,20,118
80,80,200,20,132
100,100,220,22,156
125,125,250,22,184
150,150,285,24,211
200,200,340,24,266
250,250,395,26,319
300,300,445,26,370
350,350,505,26,429
400,400,565,28,480
450,450,615,28,530
500,500,670,28,582
600,600,780,34,682
700,700,895,38,794
800,800,1015,42,901
900,900,1115,46,1001
1000,1000,1230,52,1112
1200,1200,1455,60,1328
