,ND##length##millimeters,FOD##length##millimeters,FThk##length##millimeters,FHgt##length##millimeters,FND##length##millimeters,RFD##length##millimeters
10,10,90,14,22,30,41
15,15,95,14,22,35,46
20,20,105,16,26,45,56
25,25,115,16,28,52,65
32,32,140,18,30,60,76
40,40,150,18,32,70,84
50,50,165,20,34,84,99
65,65,185,20,32,104,118
80,80,200,20,34,118,132
100,100,220,22,40,140,156
125,125,250,22,44,168,184
150,150,285,24,44,195,211
200,200,340,24,44,246,266
250,250,405,26,46,298,319
300,300,460,28,53,350,370
350,350,520,30,57,412,429
400,400,580,32,63,475,480
450,450,640,40,68,525,548
500,500,715,44,73,581,609
600,600,840,54,83,678,720
