,ND##length##millimeters,FOD##length##millimeters,FThk##length##millimeters,FHgt##length##millimeters,WOD##length##millimeters,FND##length##millimeters,RFD##length##millimeters
10,10,75,12,28,14,26,33
15,15,80,12,30,18,30,38
20,20,90,14,32,25,38,48
25,25,100,14,35,32,42,58
32,32,120,16,35,38,55,69
40,40,130,16,38,45,62,78
50,50,140,16,38,57,74,88
65,65,160,16,38,76,88,108
80,80,190,18,42,89,102,124
100,100,210,18,45,108,130,144
125,125,240,18,48,133,155,174
150,150,265,20,48,159,184,199
200,200,320,22,55,219,236,254
250,250,375,24,60,273,290,309
300,300,440,24,62,325,342,363
350,350,490,24,62,377,390,413
400,400,540,24,65,426,440,463
450,450,595,24,65,480,494,518
500,500,645,26,68,530,545,568
600,600,755,30,70,630,650,667
700,700,860,26,70,720,740,772
800,800,975,26,70,820,844,878
900,900,1075,26,70,920,944,978
1000,1000,1175,26,70,1020,1045,1078
1200,1200,1405,28,90,1220,1248,1295
1400,1400,1630,32,90,1420,1452,1510
1600,1600,1830,34,90,1620,1655,1710
1800,1800,2045,36,100,1820,1855,1918
2000,2000,2265,38,110,2020,2058,2125
2200,2200,2475,42,115,2220,2260,2335
2400,2400,2685,44,125,2420,2462,2545
2600,2600,2905,46,130,2620,2665,2750
2800,2800,3115,48,135,2820,2865,2960
3000,3000,3315,50,140,3020,3068,3160
