,ND##length##inches,FDia##length##millimeters,FThk##length##millimeters,FID##length##millimeters,WThk##length##millimeters,CtF##length##millimeters,SCtF##length##millimeters
1,1,108,11.1,25,7.9,146,45
1.25,1.25,118,12.7,32,7.9,159,45
1.5,1.5,127,14.3,38,7.9,178,51
2,2,152,15.9,51,7.9,203,64
2.5,2.5,178,17.5,64,7.9,241,64
3,3,191,19,76,9.5,254,76
3.5,3.5,216,23.8,89,11.1,292,76
4,4,229,23.8,102,12.7,305,76
5,5,254,23.8,127,12.7,343,89
6,6,279,25.4,152,14.3,368,89
8,8,343,28.6,203,15.9,445,114
10,10,406,30.2,254,19,521,127
12,12,483,31.8,305,20.6,622,140
14,14,533,34.9,356,22.2,686,152
16,16,597,36.5,406,25.4,762,165
18,18,635,39.7,457,27,813,178
20,20,699,42.9,508,28.6,889,203
24,24,813,47.6,610,31.8,1029,229
30,30,984,54,762,36.5,1245,254
