,ND##length##inches,BSaS##length##inches,FDia##length##millimeters,FThk##length##millimeters,FID##length##millimeters,WThk##length##millimeters,CtFR1##length##millimeters,CtFR2##length##millimeters,CtFB##length##millimeters,CtF##length##millimeters,SCtF##length##millimeters,RFD##length##millimeters
2,2,1,165,22.2,51,11.1,1,1,1,229,64,106
2.5,2.5,1,191,25.4,64,12.7,1,1,1,267,64,125
3,3,1,210,28.6,76,14.3,1,1,1,279,76,144
3.5,3.5,1,229,30.2,89,14.3,1,1,1,318,76,160
4,4,1,254,31.8,102,15.9,1,1,1,343,76,176
5,5,1,279,34.9,127,17.5,1,1,1,381,89,211
6,6,1,318,36.5,152,19,1,1,1,445,102,246
8,8,1,381,41.3,203,20.6,1,1,1,521,127,303
10,10,1,445,47.6,254,23.8,1,1,1,610,140,357
12,12,1,521,50.8,305,25.4,1,1,1,699,152,418
14,14,1,584,54,337,28.6,1,1,1,787,165,481
16,16,1,648,57.2,387,31.8,1,1,1,876,191,535
18,18,12,711,60.3,432,34.9,76,787,826,953,203,592
20,20,14,775,63.5,483,38.1,76,864,914,1029,216,649
24,24,16,916,69.8,584,41.3,76,1041,1092,1207,254,770
