,ND##length##millimeters,Ang##angle##degrees,SED##length##inches,SDpt##length##inches,WThk##length##inches,FOD##length##inches,CtSB##length##inches
1.25,32,90,1.675,0.687,0.156,1.66,1.563
1.5,40,90,1.915,0.687,0.156,1.9,1.75
2,50,90,2.39,0.75,0.156,2.375,2.313
3,80,90,3.52,1.5,0.219,3.5,3.063
4,100,90,4.52,1.75,0.25,4.5,3.875
6,150,90,6.647,3,0.281,6.625,5
8,200,90,8.655,4,0.328,8.625,6
10,250,90,10.78,5,0.365,10.75,14.406
12,300,90,12.78,6,0.406,12.75,16.469
1.5,40,60,1.915,0.687,0.156,1.9,1
2,50,60,2.39,0.75,0.156,2.375,1.313
3,80,60,3.52,1.5,0.219,3.5,1.688
4,100,60,4.52,1.75,0.25,4.5,2.063
1.25,32,45,1.675,0.687,0.156,1.66,1
1.5,40,45,1.915,0.687,0.156,1.9,1.125
2,50,45,2.39,0.75,0.156,2.375,1.5
3,80,45,3.52,1.5,0.219,3.5,1.75
4,100,45,4.52,1.75,0.25,4.5,2.188
6,150,45,6.647,3,0.281,6.625,2.063
8,200,45,8.655,4,0.328,8.625,2.063
1.5,40,22.5,1.915,0.687,0.156,1.9,0.5
2,50,22.5,2.39,0.75,0.156,2.375,0.688
3,80,22.5,3.52,1.5,0.219,3.5,0.813
4,100,22.5,4.52,1.75,0.25,4.5,1
6,150,22.5,6.647,3,0.281,6.625,1.5
