,ND##length##millimeters,FOD1##length##inches,FOD2##length##inches,Lgt##length##inches
0.125,6,1,0.625,0.625
0.25,8,1,0.625,0.625
0.375,10,1.25,0.75,0.75
0.5,15,1.375,0.9375,0.75
0.75,20,1.75,1.1875,0.875
1,25,2.125,1.4375,1.0625
1.25,32,2.5625,1.75,1.25
1.5,40,2.875,2,1.3125
2,50,3.5,2.5625,1.5
2.5,65,4.0625,3,1.625
3,80,4.8125,3.6875,1.75
3.5,90,5.375,4,1.875
4,100,6,4.75,2
5,125,7.0625,5.5625,2.25
6,150,8.875,6.6875,3.0625
8,200,11.5,8.6875,3.875
10,250,12.75,10.4375,3.6875
12,300,14.9375,12.5,4.0625
14,350,17,13.8125,3.9375
16,400,18.375,15.875,4.1875
18,450,20.375,17.9375,4.375
20,500,22.9375,20.0625,4.6875
24,600,27.875,24.1875,5.5
26,650,30.125,27.25,5.75
