,ND##length##millimeters,FOD##length##millimeters,Hgt##length##millimeters
0.5,15,21.3,25
0.75,20,26.7,25
1,25,33.4,38
1.25,32,42.2,38
1.5,40,48.3,38
2,50,60.3,38
2.5,65,73,38
3,80,88.9,51
3.5,90,101.6,64
4,100,114.3,64
5,125,141.3,76
6,150,168.3,89
8,200,219.1,102
10,250,273,127
12,300,323.8,152
14,350,355.6,165
16,400,406.4,178
18,450,457,203
20,500,508,229
22,550,559,254
24,600,610,267
26,650,660,267
28,700,711,267
30,750,762,267
32,800,813,267
34,850,864,267
36,900,914,267
38,950,965,305
40,1000,1016,305
42,1050,1067,305
44,1100,1118,343
46,1150,1168,343
48,1200,1219,343
