,ND##length##millimeters,BWid##length##millimeters,FID##length##millimeters,MThk##length##millimeters,BOD##length##millimeters,Lgt##length##millimeters
0.125,6,5.1,10.3,2.29,17.6,24.2
0.25,8,5.5,13.7,2.41,21.4,26.9
0.375,10,5.8,17.1,2.54,25.8,29.5
0.5,15,6.3,21.3,2.67,30.4,34
0.75,20,6.9,26.7,3.05,37,38.6
1,25,7.7,33.4,3.4,45,42.4
1.25,32,8.7,42.2,3.68,54.7,49
1.5,40,9.3,48.3,3.94,61.6,54.6
2,50,10.7,60.3,4.39,75.3,64.3
2.5,65,12.1,73,5.33,91.2,73.2
3,80,13.9,88.9,5.87,108.8,80.8
4,100,16.8,114.4,6.73,137.2,93.7
