,ND1##length##millimeters,ND2##length##millimeters,BWid##length##millimeters,FID##length##millimeters,MThk##length##millimeters,BOD##length##millimeters,Lgt##length##millimeters
0.375x0.25,10,8,11.2,17.1,3.8,28.5,36.6
0.5x0.375,15,10,12.7,21.3,4.1,34,42.9
0.5x0.25,15,8,12.7,21.3,4.1,34,42.9
0.75x0.5,20,15,14.2,26.7,4.6,41.4,44.5
0.75x0.375,20,10,14.2,26.7,4.6,41.4,44.5
0.75x0.25,20,8,14.2,26.7,4.6,41.4,44.5
1x0.75,25,20,15.8,33.4,5.1,49.5,50.8
1x0.5,25,15,15.8,33.4,5.1,49.5,50.8
1x0.375,25,10,15.8,33.4,5.1,49.5,50.8
1x0.25,25,8,15.8,33.4,5.1,49.5,50.8
1.25x1,32,25,17.5,42.2,5.6,60.7,60.5
1.25x0.75 ,32,20,17.5,42.2,5.6,60.7,60.5
1.25x0.5,32,15,17.5,42.2,5.6,60.7,60.5
1.5x1.25,40,32,19.1,48.3,6.1,68.1,68.3
1.5x1,40,25,19.1,48.3,6.1,68.1,68.3
1.5x0.75,40,20,19.1,48.3,6.1,68.1,68.3
1.5x0.5,40,15,19.1,48.3,6.1,68.1,68.3
2x1.5,50,40,21.3,60.3,6.6,83.3,81
2x1.25,50,32,21.3,60.3,6.6,83.3,81
2x1,50,25,21.3,60.3,6.6,83.3,81
2x0.75,50,20,21.3,60.3,6.6,83.3,81
2x0.5,50,15,21.3,60.3,6.6,83.3,81
2.5x2,65,50,23.9,73,7.9,98,93.7
2.5x1.5,65,40,23.9,73,7.9,98,93.7
3x2.5,80,65,25.4,88.9,8.9,117.3,103.1
3x2,80,50,25.4,88.9,8.9,117.3,103.1
3x1.5,80,40,25.4,88.9,8.9,117.3,103.1
0.25x0.375,8,10,9.7,13.7,3.6,23.6,36.6
0.375x0.5,10,15,11.2,17.1,3.8,28.5,42.9
0.25x0.5,8,15,9.7,13.7,3.6,23.6,42.9
0.5x0.75,15,20,12.7,21.3,4.1,34,44.5
0.375x0.75,10,20,11.2,17.1,3.8,28.5,44.5
0.25x0.75,8,20,9.7,13.7,3.6,23.6,44.5
0.75x1,20,25,14.2,26.7,4.6,41.4,50.8
0.5x1,15,25,12.7,21.3,4.1,34,50.8
0.375x1,10,25,11.2,17.1,3.8,28.5,50.8
0.25x1,8,25,9.7,13.7,3.6,23.6,50.8
1x1.25,25,32,15.8,33.4,5.1,49.5,60.5
0.75x1.25 ,20,32,14.2,26.7,4.6,41.4,60.5
0.5x1.25,15,32,12.7,21.3,4.1,34,60.5
1.25x1.5,32,40,17.5,42.2,5.6,60.7,68.3
1x1.5,25,40,15.8,33.4,5.1,49.5,68.3
0.75x1.5,20,40,14.2,26.7,4.6,41.4,68.3
0.5x1.5,15,40,12.7,21.3,4.1,34,68.3
1.5x2,40,50,19.1,48.3,6.1,68.1,81
1.25x2,32,50,17.5,42.2,5.6,60.7,81
1x2,25,50,15.8,33.4,5.1,49.5,81
0.75x2,20,50,14.2,26.7,4.6,41.4,81
0.5x2,15,50,12.7,21.3,4.1,34,81
2x2.5,50,65,21.3,60.3,6.6,83.3,93.7
1.5x2.5,40,65,19.1,48.3,6.1,68.1,93.7
2.5x3,65,80,23.9,73,7.9,98,103.1
2x3,50,80,21.3,60.3,6.6,83.3,103.1
1.5x3,40,80,19.1,48.3,6.1,68.1,103.1
