,ND##length##millimeters,FDia##length##millimeters,FThk##length##millimeters,FID##length##millimeters,WThk##length##millimeters,CtF##length##millimeters,CtFR##length##millimeters,CtFO##length##millimeters,OSaS##length##millimeters
4,100,229,19,102,11,165,1,1,1
5,125,254,19,127,11,191,1,1,1
6,150,279,19,152,11,203,1,1,1
8,200,343,19,203,12,229,1,1,1
10,250,406,22.2,254,13,279,1,1,1
12,300,483,25.4,305,14,305,1,1,1
14,350,533,28.6,356,15,356,1,1,1
16,400,597,28.6,406,15,381,1,1,1
18,450,645,31.8,457,16,419,330,394,300
20,500,698,31.8,508,17,457,356,432,350
24,600,813,34.9,610,19,559,381,483,400
30,750,984,38.1,762,22,635,457,584,500
36,900,1168,41.3,914,25,711,508,660,600
42,1050,1346,44.5,1067,28,787,584,762,600
48,1200,1511,50.8,1219,32,864,660,864,750
54,1350,1683,57.2,1372,34,991,737,940,900
60,1500,1854,57.2,1524,35,1118,838,1041,1000
72,1800,2197,63.5,1829,41,1346,1016,1219,1200
