,ND1##length##millimeters,ND2##length##millimeters,ND3##length##millimeters,ND4##length##millimeters,CtE1##length##millimeters,CtE2##length##millimeters,BWid##length##millimeters,FID##length##millimeters,MThk##length##millimeters,BOD##length##millimeters
0.75x0.75x0.5x0.5,20,20,15,15,30.5,31,6.9,26.7,3.05,37
1x1x0.75x0.75,25,25,20,20,34.8,36.8,7.7,33.4,3.4,45
1x1x0.5x0.5,25,25,15,15,32,35.5,7.7,33.4,3.4,45
1.25x1.25x1x1,32,32,25,25,40.1,42.4,8.7,42.2,3.68,54.7
1.25x1.25x0.75x0.75,32,32,20,20,36.8,41.2,8.7,42.2,3.68,54.7
1.5x1.5x1.25x1.25,40,40,32,32,46.2,47.8,9.3,48.3,3.94,61.6
1.5x1.5x1x1,40,40,25,25,41.9,45.7,9.3,48.3,3.94,61.6
1.5x1.5x0.75x0.75,40,40,20,20,38.6,44.5,9.3,48.3,3.94,61.6
2x2x1.5x1.5,50,50,40,40,51.3,54.9,10.7,60.3,4.39,75.3
2x2x1.25x1.25,50,50,32,32,48.3,53.3,10.7,60.3,4.39,75.3
2x2x1x1,50,50,25,25,43.9,51.3,10.7,60.3,4.39,75.3
2x2x0.75x0.75,50,50,20,20,40.6,50,10.7,60.3,4.39,75.3
2.5x2.5x2x2,65,65,50,50,60.7,66,12.1,73,5.33,91.2
3x3x2x2,80,80,50,50,64,73.4,13.9,88.9,5.87,108.8
0.5x0.5x0.75x0.75,15,15,20,20,31,30.5,6.3,21.3,2.67,30.4
0.75x0.75x1x1,20,20,25,25,36.8,34.8,6.9,26.7,3.05,37
0.5x0.5x1x1,15,15,25,25,35.5,32,6.3,21.3,2.67,30.4
1x1x1.25x1.25,25,25,32,32,42.4,40.1,7.7,33.4,3.4,45
0.75x0.75x1.25x1.25,20,20,32,32,41.2,36.8,6.9,26.7,3.05,37
1.25x1.25x1.5x1.5,32,32,40,40,47.8,46.2,8.7,42.2,3.68,54.7
1x1x1.5x1.5,25,25,40,40,45.7,41.9,7.7,33.4,3.4,45
0.75x0.75x1.5x1.5,20,20,40,40,44.5,38.6,6.9,26.7,3.05,37
1.5x1.5x2x2,40,40,50,50,54.9,51.3,9.3,48.3,3.94,61.6
1.25x1.25x2x2,32,32,50,50,53.3,48.3,8.7,42.2,3.68,54.7
1x1x2x2,25,25,50,50,51.3,43.9,7.7,33.4,3.4,45
0.75x0.75x2x2,20,20,50,50,50,40.6,6.9,26.7,3.05,37
2x2x2.5x2.5,50,50,65,65,66,60.7,10.7,60.3,4.39,75.3
2x2x3x3,50,50,80,80,73.4,64,10.7,60.3,4.39,75.3
