,ND##length##millimeters,FDia##length##millimeters,FThk##length##millimeters,FID##length##millimeters,WThk##length##millimeters,CtF1##length##millimeters,CtF2##length##millimeters
4,100,229,19,102,11,165,102
5,125,254,19,127,11,191,114
6,150,279,19,152,11,203,127
8,200,343,19,203,12,229,140
10,250,406,22.2,254,13,279,165
12,300,483,25.4,305,14,305,191
14,350,533,28.6,356,15,356,191
16,400,597,28.6,406,15,381,203
18,450,645,31.8,457,16,419,216
20,500,698,31.8,508,17,457,241
24,600,813,34.9,610,19,559,279
30,750,984,38.1,762,22,635,381
36,900,1168,41.3,914,25,711,457
42,1050,1346,44.5,1067,28,787,533
48,1200,1511,50.8,1219,32,864,610
54,1350,1683,57.2,1372,34,991,686
60,1500,1854,57.2,1524,35,1118,762
72,1800,2197,63.5,1829,41,1346,914
