,ND##length##millimeters,Ang##angle##degrees,SOD##length##inches,CtE##length##inches,SLgt##length##inches
0.5,15,90,1.094,1.25,0.75
0.75,20,90,1.281,1.281,0.719
1,25,90,1.594,1.563,0.875
1.25,32,90,2,2.125,1.25
1.5,40,90,2.25,2.313,1.313
2,50,90,2.688,2.406,1.156
2.5,65,90,3.344,3.25,1.75
3,80,90,3.969,3.813,2
4,100,90,5,4.375,2.063
6,150,90,7.25,7,3.5
8,200,90,9.375,8.531,4
0.5,15,45,1.094,1.063,0.75
0.75,20,45,1.313,1.031,0.719
1,25,45,1.656,1.438,1.125
1.25,32,45,2,1.75,1.25
1.5,40,45,2.25,1.906,1.313
2,50,45,2.75,2.125,1.375
2.5,65,45,3.313,2.469,1.781
3,80,45,3.969,2.844,2
4,100,45,5,3.156,2.063
6,150,45,7.25,5.25,3.5
8,200,45,9.375,6.844,4.5
