,ND1##length##millimeters,ND2##length##millimeters,CtE1##length##millimeters,CtE2##length##millimeters,BWid##length##millimeters,FID##length##millimeters,MThk##length##millimeters,BOD##length##millimeters
0.5x0.375,15,10,30.2,30.2,12.7,21.3,4.1,34
0.75x0.5,20,15,35.1,33.3,14.2,26.7,4.6,41.4
1x0.75,25,20,39.6,38.1,15.8,33.4,5.1,49.5
1.25x1,32,25,46,44.5,17.5,42.2,5.6,60.7
1.5x1.25,40,32,52.3,50.8,19.1,48.3,6.1,68.1
2x1.5,50,40,60.5,57.2,21.3,60.3,6.6,83.3
2.5x2,65,50,69.9,68.3,23.9,73,7.9,98
3x2.5,80,50,84.1,77.7,25.4,88.9,8.9,117.3
0.375x0.5,10,15,30.2,30.2,11.2,17.1,3.8,28.5
0.5x0.75,15,20,33.3,35.1,12.7,21.3,4.1,34
0.75x1,20,25,38.1,39.6,14.2,26.7,4.6,41.4
1x1.25,25,32,44.5,46,15.8,33.4,5.1,49.5
1.25x1.5,32,40,50.8,52.3,17.5,42.2,5.6,60.7
1.5x2,40,50,57.2,60.5,19.1,48.3,6.1,68.1
2x2.5,50,65,68.3,69.9,21.3,60.3,6.6,83.3
2.5x3,50,80,77.7,84.1,23.9,73,7.9,98
