,ND##length##millimeters,FDia##length##millimeters,FThk##length##millimeters,PDia##length##millimeters,WThk##length##millimeters
1,25,108,11.1,25,9.6
1.25,32,118,12.7,32,11.1
1.5,40,127,14.3,38,12.7
2,50,152,15.9,51,14.3
2.5,65,178,17.5,64,15.9
3,80,191,19,76,17.5
3.5,90,216,20.6,89,19
4,100,229,23.8,102,22.2
5,125,254,23.8,127,22.2
6,150,279,25.4,152,23.8
8,200,343,28.6,203,27
10,250,406,30.2,254,28.6
12,300,483,31.8,305,20.6
14,350,533,34.9,356,22.2
16,400,597,36.5,406,25.4
18,450,635,39.7,457,27
20,500,699,42.9,508,28.6
24,600,813,47.6,610,31.8
30,750,984,54,762,36.6
36,900,1168,60.3,914,41.3
42,1050,1346,66.7,1066,46
48,1200,1511,69.9,1219,50.8
