,ND##length##millimeters,FDia##length##millimeters,FThk##length##millimeters,RFD##length##millimeters,PDia##length##millimeters,WThk##length##millimeters
1,25,124,17.5,68,25,11.3
1.25,32,133,19,78,32,11.6
1.5,40,156,20.6,91,38,12.1
2,50,165,22.2,106,51,12.6
2.5,65,191,25.4,125,64,13.4
3,80,210,28.6,144,76,14.2
3.5,90,229,30.2,160,89,14.8
4,100,254,31.8,176,102,15.3
5,125,279,34.9,211,127,16.7
6,150,318,36.5,246,152,18.0
8,200,381,41.3,303,203,20.8
10,250,445,47.6,357,254,23.8
12,300,521,50.8,418,305,25.4
14,350,584,54,481,337,28.6
16,400,648,57.2,535,387,31.8
18,450,711,60.3,592,432,34.9
20,500,775,63.5,649,483,38.1
24,600,916,69.8,770,584,41.3
30,750,1092,76.2,945,737,50.8
