,ND##length##millimeters,FOD##length##millimeters,FThk##length##millimeters,RFD##length##millimeters
0.5,15,95,14.3,34.9
0.75,20,115,15.9,42.9
1,25,125,17.5,50.8
1.25,32,135,20.7,63.5
1.5,40,155,22.3,73
2,50,165,25.4,92.1
2.5,65,190,28.6,104.8
3,80,210,31.8,127
3.5,90,230,35,139.7
4,100,255,35,157.2
5,125,280,38.1,185.7
6,150,320,41.3,215.9
8,200,380,47.7,269.9
10,250,445,54,323.8
12,300,520,57.2,381
14,350,585,60.4,412.8
16,400,650,63.5,469.9
18,450,710,66.7,533.4
20,500,775,69.9,584.2
24,600,915,76.2,692.2
