,ND##length##millimeters,FOD##length##millimeters,FThk##length##millimeters,HDia##length##millimeters,LTH##length##millimeters,RFD##length##millimeters
0.5,15,90,9.6,30,14,34.9
0.75,20,100,11.2,38,14,42.9
1,25,110,12.7,49,16,50.8
1.25,32,115,14.3,59,19,63.5
1.5,40,125,15.9,65,21,73
2,50,150,17.5,78,24,92.1
2.5,65,180,20.7,90,27,104.8
3,80,190,22.3,108,29,127
3.5,90,215,22.3,122,30,139.7
4,100,230,22.3,135,32,157.2
5,125,255,22.3,164,35,185.7
6,150,280,23.9,192,38,215.9
8,200,345,27,246,43,269.9
10,250,405,28.6,305,48,323.8
12,300,485,30.2,365,54,381
14,350,535,33.4,400,56,412.8
16,400,595,35,457,62,469.9
18,450,635,38.1,505,67,533.4
20,500,700,41.3,559,71,584.2
24,600,815,46.1,663,81,692.2
