,ND##length##millimeters,FDia##length##millimeters,FThk##length##millimeters,HDia##length##millimeters,Lgt##length##millimeters
1,25,108,11.1,49,18
1.25,32,118,12.7,59,21
1.5,40,127,14.3,65,22
2,50,152,15.9,78,25
2.5,65,178,17.5,91,29
3,80,191,19,108,30
3.5,90,216,20.6,122,32
4,100,229,23.8,135,33
5,125,254,23.8,164,37
6,150,279,25.4,192,40
8,200,343,28.6,246,45
10,250,406,30.2,303,49
12,300,483,31.8,357,56
14,350,533,34.9,391,57
16,400,597,36.5,445,64
18,450,635,39.7,499,68
20,500,699,42.9,553,73
24,600,813,47.6,660,83
30,750,984,54,820,101
36,900,1168,60.3,979,117
42,1050,1346,66.7,1137,133
48,1200,1511,69.9,1296,149
