,ND1##length##millimeters,POD##length##inches,FOD##length##inches,FWid##length##inches,PLgt1##length##inches,PLgt2##length##inches
1,25,1.315,4.25,0.44,1.75,5.75
1.25,32,1.66,4.62,0.5,1.75,6.25
1.5,40,1.9,5,0.56,2,7
2,50,2.375,6,0.62,2.5,8
2.5,65,2.875,7,0.69,2.5,9.5
3,80,3.5,7.5,0.75,3,10
3.5,90,4,8.5,0.81,3,11.5
4,100,4.5,9,0.94,3,12
5,125,5.563,10,0.94,3.5,13.5
6,150,6.625,11,1,3.5,14.5
8,200,8.625,13.5,1.12,4.5,17.5
10,250,10.75,16,1.19,5,20.5
12,300,12.75,19,1.25,6.5,24.5
14,350,14,21,1.38,6,27
16,400,16,23.5,1.44,6.5,30
18,450,18,25,1.56,7,32
20,500,20,27.5,1.69,8,35
24,600,24,32,1.88,9,40.5
