,ND1##length##millimeters,ND2##length##millimeters,ND3##length##millimeters,POD1##length##inches,POD2##length##inches,POD3##length##inches,SOD1##length##inches,SOD2##length##inches,SOD3##length##inches,PLgt1##length##inches,PLgt2##length##inches,CRad##length##inches,SWid1##length##inches,SWid2##length##inches,SWid3##length##inches
1.50 x 1.25 x 1.25 x 1.25,40,32,32,1.9,1.66,1.66,2.312,2.052,2.052,3.4375,3.0625,3.625,1.375,1.25,1.25
1.50 x 1.25 x 1.50 x 1.50,40,40,32,1.9,1.66,1.9,2.312,2.052,2.312,3.4375,3.0625,3.625,1.375,1.25,1.375
2.00 x 1.50 x 1.50 x 1.50,50,40,40,2.375,1.9,1.9,2.823,2.312,2.312,3.9375,3.5,4.1875,1.5,1.375,1.375
2.00 x 1.50 x 2.00 x 2.00,50,40,50,2.375,1.9,2.375,2.823,2.312,2.823,5.125,4.4375,5.125,1.5,1.375,1.5
2.00 x 2.00 x 1.25 x 1.25,50,50,32,2.375,2.375,1.66,2.823,2.823,2.052,3.4375,3.0625,3.8125,1.5,1.5,1.25
2.00 x 2.00 x 1.50 x 1.50,50,50,40,2.375,2.375,1.9,2.823,2.823,2.312,3.9375,3.5,4.1875,1.5,1.5,1.375
3.00 x 3.00 x 1.50 x 1.50,80,80,40,3.5,3.5,1.9,4.116,4.116,2.312,3.9375,3.5,4.75,1.875,1.875,1.375
3.00 x 3.00 x 2.00 x 2.00,80,80,50,3.5,3.5,2.375,4.116,4.116,2.823,5.125,4.4375,5.6875,1.875,1.875,1.5
4.00 x 4.00 x 1.50 x 1.50,100,100,40,4.5,4.5,1.875,5.192,5.192,1.66,3.9375,3.5625,5.1875,2.25,2.25,1.375
4.00 x 4.00 x 2.00 x 2.00,100,100,50,4.5,4.5,2.375,5.192,5.192,2.823,5.125,4.5,6.125,2.25,2.25,1.5
4.00 x 4.00 x 3.00 x 3.00,100,100,80,4.5,4.5,3.5,5.192,5.192,4.116,7.5625,6.5,8.0625,2.25,2.25,1.875
6.00 x 6.00 x 2.00 x 2.00,150,150,50,6.625,6.625,2.375,7.511,7.511,2.823,5.125,4.5625,7.125,3,3,1.375
6.00 x 6.00 x 3.00 x 3.00,150,150,80,6.625,6.625,3.5,7.511,7.511,4.116,7.5625,6.625,9.0625,3,3,1.875
6.00 x 6.00 x 4.00 x 4.00,150,150,100,6.625,6.625,4.5,7.511,7.511,5.192,10,8.5,11,3,3,2.25
6.00 x 6.00 x 5.00 x 5.00,150,150,125,6.625,6.625,5.563,7.511,7.511,6.333,12.74,10.75,13.3125,3,3,2.625
