,ND2##length##millimeters,ND1##length##millimeters,ND3##length##millimeters,POD2##length##inches,POD1##length##inches,POD3##length##inches,SOD2##length##inches,SOD1##length##inches,SOD3##length##inches,PLgt2##length##inches,PLgt1##length##inches,CRad##length##inches,SWid1##length##inches,SWid2##length##inches,SWid3##length##inches
1.50 x 1.25 x 1.25 x 1.25,32,40,32,1.66,1.9,1.66,2.052,2.312,2.052,0.69,1.5,1.69,1.375,1.25,1.25
1.50 x 1.25 x 1.50 x 1.50,32,40,40,1.66,1.9,1.9,2.052,2.312,2.312,1,1.75,1.75,1.375,1.25,1.375
1.50 x 1.50 x 1.25 x 1.25,40,40,32,1.9,1.9,1.66,2.312,2.312,2.052,0.81,1.69,1.81,1.375,1.375,1.25
2.00 x 1.25 x 1.50 x 1.50,32,50,40,1.66,2.375,1.9,2.052,2.823,2.312,1.19,1.94,2.19,1.5,1.25,1.375
2.00 x 1.50 x 1.50 x 1.50,40,50,40,1.9,2.375,1.9,2.312,2.823,2.312,1.19,1.94,2.19,1.5,1.375,1.375
2.00 x 1.50 x 2.00 x 2.00,40,50,50,1.9,2.375,2.375,2.312,2.823,2.823,1.38,2.31,2.31,1.5,1.375,1.5
2.00 x 2.00 x 1.25 x 1.25,50,50,32,2.375,2.375,1.66,2.823,2.823,2.052,1.19,1.94,2.19,1.5,1.5,1.25
2.00 x 2.00 x 1.50 x 1.50,50,50,40,2.375,2.375,1.9,2.823,2.823,2.312,1.1875,1.94,2.19,1.5,1.5,1.375
3.00 x 3.00 x 1.50 x 1.50,80,80,40,3.5,3.5,1.9,4.116,4.116,2.312,0.94,1.75,2.56,1.875,1.875,1.375
3.00 x 3.00 x 2.00 x 2.00,80,80,50,3.5,3.5,2.375,4.116,4.116,2.823,1.19,2.13,2.88,1.875,1.875,1.5
4.00 x 4.00 x 1.50 x 1.50,100,100,40,4.5,4.5,1.9,5.192,5.192,2.312,1.06,2,3.25,2.25,2.25,1.375
4.00 x 4.00 x 2.00 x 2.00,100,100,50,4.5,4.5,2.375,5.192,5.192,2.823,1.13,2.06,3.31,2.25,2.25,1.5
4.00 x 4.00 x 3.00 x 3.00,100,100,80,4.5,4.5,3.5,5.192,5.192,4.116,1.75,3,3.56,2.25,2.25,1.875
6.00 x 6.00 x 4.00 x 4.00,150,150,100,6.625,6.625,4.5,7.511,7.511,5.192,2.19,3.63,4.31,3,3,2.25
8.00 x 8.00 x 4.00 x 4.00,200,200,100,8.625,8.625,4.5,9.655,9.655,5.192,2.63,4.13,5.25,4,4,2.25
8.00 x 8.00 x 6.00 x 6.00,200,200,150,8.625,8.625,6.625,9.655,9.655,7.511,3.56,4.81,5.5,4,4,3
