,ND1##length##millimeters,ND2##length##millimeters,ND3##length##millimeters,POD1##length##inches,POD2##length##inches,POD3##length##inches,SWid1##length##inches,SWid2##length##inches,SWid3##length##inches,SOD1##length##inches,SOD2##length##inches,SOD3##length##inches,PLgt1##length##inches,PLgt2##length##inches,CRad##length##inches
1.5x1.25x1.25,40,32,32,1.9,1.66,1.66,1.375,1.25,1.25,2.312,2.052,2.052,1.5,0.69,1.69
1.5x1.25x1.5,40,32,40,1.9,1.66,1.9,1.375,1.25,1.375,2.312,2.052,2.312,1.75,1,1.75
1.5x1.5x1.25,40,40,32,1.9,1.9,1.25,1.375,1.375,1.25,2.312,2.312,2.052,1.69,0.81,1.81
2x1.25x1.5,50,32,32,2.375,1.66,1.9,1.5,1.25,1.375,2.823,2.052,2.312,1.94,1.19,2.19
2x1.5x1.5,50,40,32,2.375,1.5,1.9,1.5,1.375,1.375,2.823,2.312,2.312,1.94,1.19,2.19
2x1.5x2,50,40,50,2.375,1.5,2.375,1.5,1.375,1.5,2.823,2.312,2.823,2.31,1.38,2.31
2x2x1.25,50,50,32,2.375,2.375,1.66,1.5,1.5,1.25,2.823,2.823,2.052,1.94,1.19,2.19
2x2x1.5,50,50,40,2.375,2.375,1.9,1.5,1.5,1.375,2.823,2.823,2.312,1.94,1.1875,2.19
3x3x1.5,80,10,40,3.5,3.5,1.9,1.875,1.875,1.375,4.116,4.116,2.312,1.75,0.94,2.56
3x3x2,80,80,50,3.5,3.5,2.375,1.875,1.875,1.5,4.116,4.116,2.823,2.13,1.19,2.88
4x4x1.5,80,100,40,4.5,4.5,1.9,2.25,2.25,1.375,5.192,5.192,2.312,2,1.06,3.25
4x4x2,80,100,50,4.5,4.5,2.375,2.25,2.25,1.5,5.192,5.192,2.823,2.06,1.13,3.31
4x4x3,80,100,80,4.5,4.5,3.5,2.25,2.25,1.875,5.192,5.192,4.116,3,1.75,3.56
6x6x4,150,150,100,6.625,6.625,4.5,3,3,2.125,7.511,7.511,5.192,3.63,2.19,4.31
8x8x4,200,200,100,8.625,8.625,4.5,4,4,2.125,9.655,9.655,5.192,4.13,2.63,5.25
8x8x6,200,200,150,8.625,8.625,6.625,4,4,3,9.655,9.655,7.511,4.81,3.56,5.5
