,ND##length##millimeters,POD##length##inches,FOD##length##inches,FWid##length##inches,CRad##length##inches,SHgt##length##inches,BLgt##length##inches,BHgt##length##inches
2,50,2.375,6,0.62,4.5,3.62,4.62,0.5
2.5,65,2.875,7,0.69,5,4,4.62,0.5
3,80,3.5,7.5,0.75,5.5,4.32,5,0.56
3.5,90,4,8.5,0.81,6,4.69,5,0.56
4,100,4.5,9,0.94,6.5,4.88,6,0.62
5,125,5.563,10,0.94,7.5,5.56,7,0.69
6,150,6.625,10,1,8,6.31,7,0.69
8,200,8.625,11,1.12,9,7.44,9,0.94
10,250,10.75,13.5,1.19,11,8.81,9,0.94
12,300,12.75,16,1.25,12,10.25,11,1
14,350,14,19,1.38,14,11.5,11,1
16,400,16,21,1.44,15,12.75,11,1
18,450,18,23.5,1.56,16.5,13.88,13.5,1.12
20,500,20,25,1.69,18,14.88,13.5,1.12
24,600,24,32,1.88,22,17.38,13.5,1.12
