,ND1##length##millimeters,ND2##length##millimeters,FOD##length##inches,SED##length##inches,SDpt##length##inches,WThk##length##inches,Lgt##length##inches
1.5x2,40,50,1.9,1.915,0.687,0.156,1.968
1.5x3,40,80,1.9,1.915,0.687,0.156,3.281
2x3,50,80,2.375,2.39,0.75,0.156,3.125
2x4,50,100,2.375,2.39,0.75,0.156,3.875
3x4,80,100,3.5,3.52,1.5,0.219,4.188
3x6,80,150,3.5,3.52,1.5,0.219,6.484
4x6,100,150,4.5,4.52,1.75,0.25,6.5
6x8,150,200,6.625,6.647,3,0.281,8.406
6x10,150,250,6.625,6.647,3,0.281,9.875
8x10,200,250,8.625,8.655,4,0.328,10.75
8x12,200,300,8.625,8.655,4,0.328,12.75
10x12,250,300,10.75,10.78,5,0.365,12.75
2x1.5,50,40,2.375,2.39,0.75,0.156,1.968
3x1.5,80,40,3.5,3.52,1.5,0.219,3.281
3x2,80,50,3.5,3.52,1.5,0.219,3.125
4x2,100,50,4.5,4.52,1.75,0.25,3.875
4x3,100,80,4.5,4.52,1.75,0.25,4.188
6x3,150,80,6.625,6.647,3,0.281,6.484
6x4,150,100,6.625,6.647,3,0.281,6.5
8x6,200,150,8.625,8.655,4,0.328,8.406
10x6,250,150,10.75,10.78,5,0.365,9.875
10x8,250,200,10.75,10.78,5,0.365,10.75
12x8,300,200,12.75,12.78,6,0.406,12.75
12x10,300,250,12.75,12.78,6,0.406,12.75
