,ND##length##millimeters,FOD##length##millimeters,CtE##length##millimeters
0.5,15,21.3,25
0.75,20,26.7,29
1,25,33.4,38
1.25,32,42.2,48
1.5,40,48.3,57
2,50,60.3,64
2.5,65,73,76
3,80,88.9,86
3.5,90,101.6,95
4,100,114.3,105
5,125,141.3,124
6,150,168.3,143
8,200,219.1,178
10,250,273,216
12,300,323.8,254
14,350,355.6,279
16,400,406.4,305
18,450,457,343
20,500,508,381
22,550,559,419
24,600,610,432
26,650,660,495
28,700,711,521
30,750,762,559
32,800,813,597
34,850,864,635
36,900,914,673
38,950,965,711
40,1000,1016,749
42,1050,1067,762
44,1100,1118,813
46,1150,1168,851
48,1200,1219,889
