,ND##length##millimeters,FDia##length##millimeters,FThk##length##millimeters,FID##length##millimeters,WThk##length##millimeters,CtF##length##millimeters,CtFR##length##millimeters,CtFO##length##millimeters,OSaS##length##millimeters
1,25,108,11.1,25,7.9,89,1,1,1
1.25,32,118,12.7,32,7.9,95,1,1,1
1.5,40,127,14.3,38,7.9,102,1,1,1
2,50,152,15.9,51,7.9,114,1,1,1
2.5,65,178,17.5,64,7.9,127,1,1,1
3,80,191,19,76,9.5,140,1,1,1
3.5,90,216,23.8,89,11.1,152,1,1,1
4,100,229,23.8,102,12.7,165,1,1,1
5,125,254,23.8,127,12.7,191,1,1,1
6,150,279,25.4,152,14.3,203,1,1,1
8,200,343,28.6,203,15.9,229,1,1,1
10,250,406,30.2,254,19,279,1,1,1
12,300,483,31.8,305,20.6,305,1,1,1
14,350,533,34.9,356,22.2,356,1,1,1
16,400,597,36.5,406,25.4,381,1,1,1
18,450,635,39.7,457,27,419,330,393,300
20,500,699,42.9,508,28.6,457,356,432,350
24,600,813,47.6,610,31.8,559,381,483,400
30,750,984,54,762,36.5,635,457,584,500
36,900,1168,60.3,914,41.3,711,508,660,600
42,1050,1346,66.7,1067,46,787,584,762,600
48,1200,1511,69.9,1219,50.8,864,660,864,750
