,ND1##length##millimeters,ND2##length##millimeters,ND3##length##millimeters,BWid##length##millimeters,FID##length##millimeters,MThk##length##millimeters,BOD##length##millimeters,CtE1##length##millimeters,CtE2##length##millimeters,CtE3##length##millimeters
0.25x0.25x0.125,8,8,6,5.5,13.7,2.41,21.4,18.8,18.8,19.3
0.125x0.125x0.25,6,6,8,5.1,10.3,2.29,17.6,19.3,19.3,18.8
0.375x0.375x0.25,10,10,8,5.8,17.1,2.54,25.8,22.4,22.4,22.9
0.375x0.375x0.125,10,10,6,5.8,17.1,2.54,25.8,20.6,20.6,21.6
0.375x0.25x0.375,10,8,10,5.8,17.1,2.54,25.8,24.1,22.9,24.1
0.375x0.25x0.25,10,8,8,5.8,17.1,2.54,25.8,22.4,20.6,22.9
0.25x0.25x0.375,8,8,10,5.5,13.7,2.41,21.4,22.9,22.9,22.4
0.5x0.5x0.375,15,15,10,6.3,21.3,2.67,30.4,26.4,26.4,26.2
0.5x0.5x0.25,15,15,8,6.3,21.3,2.67,30.4,24.6,24.6,24.9
0.5x0.375x0.5,15,10,15,6.3,21.3,2.67,30.4,28.5,26.2,28.5
0.5x0.375x0.375,15,10,10,6.3,21.3,2.67,30.4,26.4,24.1,26.2
0.5x0.25x0.5,15,8,15,6.3,21.3,2.67,30.4,28.5,24.9,28.5
0.375x0.375x0.5,10,10,15,5.8,17.1,2.54,25.8,26.2,26.2,26.4
0.75x0.75x0.5,20,20,15,6.9,26.7,3.05,37,30.5,30.5,31
0.75x0.75x0.375,20,20,10,6.9,26.7,3.05,37,28.5,28.5,28.7
0.75x0.75x0.25,20,20,8,6.9,26.7,3.05,37,26.7,26.7,27.4
0.75x0.5x0.75,20,15,20,6.9,26.7,3.05,37,33.3,30,33.3
0.75x0.5x0.5,20,15,15,6.9,26.7,3.05,37,30.5,28.5,31
0.75x0.5x0.375,20,15,10,6.9,26.7,3.05,37,28.5,26.4,28.7
0.75x0.375x0.75,20,10,20,6.9,26.7,3.05,37,33.3,28.7,33.3
