,ND1##length##millimeters,ND2##length##millimeters,ND3##length##millimeters,SED##length##inches,SDpt##length##inches,WThk##length##inches,FOD##length##inches,SBtSBR##length##inches,CtSBR##length##inches,CtSBB##length##inches
1.5,40,-1,-1,1.915,0.687,0.156,1.9,-1,-1,-1
2x1.5x1.5,50,40,40,2.39,0.75,0.156,2.375,3.125,1.938,2.188
2x1.5x2,50,40,50,2.39,0.75,0.156,2.375,3.688,2.313,2.313
2x2x1.5,50,50,40,2.39,0.75,0.156,2.375,3.125,1.938,2.188
3x3x1.5,80,80,40,3.52,1.5,0.219,3.5,2.688,1.75,2.563
3x3x2,80,80,50,3.52,1.5,0.219,3.5,3.313,2.125,2.875
4x4x1.5,100,100,40,4.52,1.75,0.25,4.5,3.188,2.063,3.313
4x4x2,100,100,50,4.52,1.75,0.25,4.5,3.188,2.063,3.313
4x4x3,100,100,80,4.52,1.75,0.25,4.5,4.75,3,3.563
6x6x4,150,150,100,6.647,3,0.281,6.625,6.063,3.781,4.875
