,ND##length##millimeters,FThk##length##millimeters,RFD##length##millimeters,FID##length##millimeters,WThk##length##millimeters,CtB##length##millimeters,RBD##length##millimeters,BThk##length##millimeters,RThk##length##millimeters,FOD##length##millimeters,CtCS##length##millimeters
2,50,14.3,92.1,51,5.6,105,117,13,13,150,114
2.5,65,15.9,104.8,64,5.6,114,117,13,13,180,127
3,80,17.5,127,76,5.6,124,127,14,14,190,140
3.5,90,19.1,139.7,89,6.4,133,127,14,14,215,152
4,100,22.3,157.2,102,6.4,140,152,16,16,230,165
5,125,22.3,185.7,127,7.1,159,178,17,17,255,190
6,150,23.9,215.9,152,7.1,178,178,17,17,280,203
8,200,27,269.9,203,7.9,213,229,24,24,345,229
10,250,28.6,323.8,254,8.7,248,229,24,24,405,279
12,300,30.2,381,305,9.5,286,279,25,25,485,305
14,350,33.4,412.8,337,10.3,318,279,25,25,535,356
16,400,35,469.9,387,11.1,349,279,25,25,595,381
18,450,38.1,533.4,438,11.9,381,343,29,29,635,419
20,500,41.3,584.2,489,12.7,406,343,29,29,700,457
24,600,46.1,692.2,591,14.5,470,343,29,29,815,559
